aah	a cry of delight
derelict	abandoned and falling apart
dereliction	failure to do one's duty
deride	to mock scornfully
derision	scornful mockery
derisive	mocking and scornful
derisively	in a mocking, scornful way
derivation	the origin of something
derivative	copied from something else
derive	to obtain from a source
derived	obtained from a source
deriving	obtaining from a source
derma	the skin
dermal	relating to the skin
dermatitis	inflammation of the skin
dermatologic	relating to skin treatment
dermatological	relating to skin treatment
dermatologist	a doctor who treats skin
dermatology	the medical study of skin
dermis	skin under the surface
derogation	lessening of authority
derogatory	showing scorn or disrespect
derp	silly or clueless
derrick	a tall oil-well framework
derriere	the buttocks
derringer	a small pocket pistol
dervish	a mystical muslim order member
desalination	removing salt from seawater
descend	to go downward
descendant	inherited from an earlier generation
descendants	people born from an ancestor
descendent	inherited from an earlier generation
descending	going downward
descent	a movement downward
descriptive	giving a detailed description
descriptor	a word that describes something
desecrate	to damage something sacred
desecrated	damaged in a sacred sense
desecration	damage to something sacred
desegregation	ending separation by race
desensitization	becoming less sensitive over time
deserted	empty and abandoned
deserter	someone who abandons duty
desertification	land turning into desert
desertion	the act of abandoning duty
deserved	rightly earned
deservedly	rightly earned
deserving	worthy of something
desiccant	a substance that absorbs moisture
desiccated	dried out completely
desiccation	the process of drying out
designate	chosen but not yet in place
designation	an official name or title
designing	scheming and manipulative
desirability	the quality of being wanted
desirable	worth having or wanting
desired	wanted or wished for
desirous	wanting something strongly
desist	to stop doing something
desktop	a desk computer
desolate	empty and bleak
desolation	a state of bleak emptiness
desorption	release of absorbed material
despair	a feeling of hopelessness
despairing	feeling hopeless
despatch	sending a message or goods
desperado	a reckless outlaw
desperately	in an urgent, hopeless way
desperation	a feeling of urgent hopelessness
despicable	deserving strong dislike
despise	to dislike intensely
despised	strongly disliked
despising	strongly disliking
despondency	deep discouragement
despondent	feeling deep discouragement
despot	a cruel, all-powerful ruler
despotic	ruling with total, cruel power
despotism	rule by a cruel tyrant
dessert	a sweet after-meal course
destabilise	to make unstable
destabilization	the act of making unstable
destabilize	to make unstable
destination	the place traveled to
destined	certain to happen or arrive
destiny	a fixed future
destitute	extremely poor
destitution	extreme poverty
destroyer	a small, fast warship
destruct	to destroy, especially deliberately
destructive	causing great damage
destructively	in a damaging way
destructiveness	the tendency to cause damage
desultory	lacking purpose or plan
detach	to separate from something
detachable	able to be removed
detached	separated or emotionally distant
detachment	distance or a separated unit
detailing	a thorough description
detain	to keep someone in custody
detainee	a person held in custody
detainment	holding someone in custody
detect	to discover the presence of
detectable	able to be discovered
detected	discovered or noticed
detecting	discovering the presence of
detection	the discovery of something hidden
detective	someone who investigates crimes
detector	a device that senses something
detent	a part-holding small catch
detente	an easing of tension
detention	being kept in custody
deter	to discourage someone
detergent	used to remove grease
deteriorate	to become worse
deterioration	a gradual worsening
determinant	deciding or influencing an outcome
determinate	fixed and clearly defined
determination	firm resolve to achieve something
determinative	deciding the outcome
determinedly	with firm resolve
determiner	a noun-specifying word
determining	deciding the outcome of
determinism	belief events are all fixed
deterministic	following fixed, predictable rules
deterrence	discouraging action through fear
deterrent	discouraging someone from acting
detest	to hate intensely
detestable	deserving intense hatred
detested	hated intensely
dethrone	to remove from power
detonate	to explode
detonation	an explosion
detonator	an explosion-triggering device
detour	a roundabout route
detox	a toxin-removal period
detoxification	the removal of harmful substances
detoxify	to remove toxins from
detract	to lessen the value of
detriment	harm or damage
detrimental	causing harm
detritus	scattered debris or waste
deuce	a tie score in tennis
deuterium	a heavy form of hydrogen
devaluation	a reduction in value
devalue	to reduce the value of
devalued	reduced in value
devastate	to destroy or overwhelm completely
devastating	extremely destructive or upsetting
devastation	widespread destruction
developer	a new-thing builder
developmental	relating to growth and change
developmentally	relating to growth stages
deviance	behavior that breaks social norms
deviant	differing from accepted norms
deviate	differing from the usual
deviation	a departure from the norm
devilish	mischievous or wicked
devilishly	in a wickedly clever way
devious	sly and deceitful
devise	a will passing on property
devising	planning or inventing
devoid	completely lacking
devolution	transferring power downward
devolve	to pass power downward
devote	to give effort fully to
devoted	deeply loyal and loving
devotee	an enthusiastic follower
devotion	deep love or loyalty
devotional	about religious worship
devour	to eat hungrily
devourer	one who eats hungrily
devouring	eating hungrily
devout	deeply religious
devoutly	in a deeply religious way
dew	morning grass water drops
dewy	covered in moisture drops
dexamethasone	a steroid medicine
dexter	on the right side
dexterity	skill in using one's hands
dexterous	skillful with the hands
dextrose	a simple form of sugar
dhoti	a south asian men's garment
dhow	a traditional sailing boat
diabetes	a high-blood-sugar disease
diabetic	relating to diabetes
diabolic	extremely wicked
diabolical	extremely wicked
diadem	a jeweled crown
diagnose	to identify an illness
diagnosing	identifying an illness
diagnosis	the identification of an illness
diagnostic	used to identify a problem
diagnostics	tests to identify a problem
diagonal	slanting from corner to corner
diagonally	in a slanting direction
diagram	a simple drawing explaining something
dial	a round control or display
dialect	a regional language form
dialectal	about a regional speech form
dialectic	relating to logical debate
dialectical	relating to logical debate
dialectics	the method of logical debate
dialog	a conversation between people
dialogue	a conversation between people
dialysis	medical filtering of the blood
diam	short for diameter
diamante	decorated with sparkly fake gems
diameter	the width across a circle
diametrically	completely, as in opposite
diamine	a two-amine-group compound
diamondback	a rattlesnake with diamond markings
diaper	a baby's absorbent underpants
diaphragm	the muscle used for breathing
diarist	a diary writer
diarrhea	frequent watery bowel movements
diarrhoea	frequent watery bowel movements
diary	a daily written record
diaspora	scattered people from a homeland
diastolic	relating to heart's resting phase
diatom	a tiny single-celled alga
diatonic	using a standard musical scale
diatribe	a bitter, angry criticism
diazepam	a calming sedative drug
dibble	a hole-making garden tool
dibs	a claim to something
dice	small cubes used in games
dicey	risky and uncertain
dichotomous	divided into two opposite parts
dichotomy	a split into two opposites
dickens	an exclamation of surprise
dicker	to bargain over a price
dickey	slightly unwell or unreliable
dickhead	a stupid or contemptible person
